"","regMult","logLik","K","AICc","deltaAICc","aicWeight"
"1",1,-60023.7199977916,62,120172.281987392,36.0567825038888,0.999999985196338
"2",1,-13202.8139526821,112,26644.0015566987,37.288215443361,0.999999992002267
"3",1,-4538.40640328893,26,9130.37280657787,35.4803000780903,0.999999980248734
"4",1,-33714.2279637887,130,67696.6375273852,8.16315268022299,0.983399397298936
"5",0.5,-59610.2307646586,114,119452.217976309,11.8894547023665,0.997384726249961
"6",2,-2087.75013169913,25,4228.91233688907,6.58610995366234,0.964116129309238
"7",1,-408.454484179167,22,880.752105613236,17.4175669464342,0.999834898246887
"8",5,-280.641806363879,2,565.712184156329,52.4573166851518,0.999999999995935
"9",1,-11787.1186159437,81,23745.5332430841,66.4693460521521,0.999999999999996
"10",2,-299.246405721525,10,622.352460565857,6.19058868645516,0.956698223471855
