"","species","full.area","above.lower.crit","below.lower.crit","above.upper.crit","below.upper.crit","area.between.crits"
"1","Macaca fuscata",44.2113557891538,0.0221548297944738,0.955690340411052,0.759817926905938,0.216437762878252,1.17741504518026e-45
"2","Pecari tajacu",4.51930886596486,0.0957747443207384,0.888262798292472,0.559873699426037,0.406036062031223,0.100581450179182
"3","Steatomys pratensis",22.1717939274277,0.16405902622937,0.819535071147693,0.217814800187971,0.768715966625873,0.00307529906661898
"4","Eulemur fulvus",14.8443861890633,0.128041647486003,0.807937528770996,0.139262548963062,0.853038432309708,4.02087402238535e-08
"5","Aethopyga christinae",0.0101041213015233,0.0134352969892238,0.984885290887123,0.605271413564344,0.347925876386769,0.0239907089468122
"6","Guira guira",22.5376197210645,0.0605489810348966,0.933396120861614,0.568324139723389,0.409931286070274,0.10828279078624
"7","Tamiasciurus hudsonicus",49.803778349709,0.0289423630633983,0.968163400630262,0.229456256702676,0.753040492159195,0.127616741540743
"8","Gallirallus australis",0.00603783952620793,0.0193738807967454,0.977397139070464,0.0149202125033723,0.984546922764365,0.0577317450603465
"9","Amadina fasciata",0.0598548165236217,0.0217754566509926,0.967336815023511,0.0113215808521632,0.983654812099243,0.376107735775209
"10","Petauroides volans",17.9065337886198,0.103906437326645,0.892630014762467,0.75133631260658,0.238161972333289,0.170139468118657
"11","Macaca fuscata",39.8333560935947,0.0211389359233146,0.957722128153371,0.659518224478726,0.320496374779495,3.70184214021826e-33
"12","Pecari tajacu",26.9286557297693,0.0662335707511173,0.924304490570152,0.66969736933765,0.310447697704661,0.0517383199952655
"13","Steatomys pratensis",25.1788294548444,0.153120302986571,0.832959669469195,0.192928135997777,0.794850156503358,0.00436177234512182
"14","Eulemur fulvus",6.4267061616739,0.24712046236807,0.691099422039912,0.0152523395893899,0.982668749022747,0.00730388467199421
"15","Aethopyga christinae",0.172867294767066,0.0927090283253656,0.898020068842098,0.732562187798177,0.226497894622238,0.0043991296663458
"16","Guira guira",22.8939326141523,0.066750136669627,0.92657484966341,0.571252998043142,0.409929054230407,0.109778110389546
"17","Tamiasciurus hudsonicus",26.1067032727431,0.0234714012826779,0.973920665241469,0.235851490083248,0.744635926965641,0.174982687160947
"18","Gallirallus australis",0.0540177190129775,0.0106692403740258,0.987196911551169,0.0347884450724834,0.963472132673892,0.00528105595822606
"19","Amadina fasciata",13.0894819908871,0.00716829136814397,0.989247562947784,0.0380945176058405,0.954207294414085,0.243853979632234
"20","Petauroides volans",23.0414706292763,0.175294313466825,0.819051031260052,0.723712372991573,0.261075842730626,0.227776983237056
"21","Macaca fuscata",39.8333560935947,0.0211389359233146,0.957722128153371,0.659518224478726,0.320496374779495,3.70184214021826e-33
"22","Pecari tajacu",26.9286557297693,0.0662335707511173,0.924304490570152,0.66969736933765,0.310447697704661,0.0517383199952655
"23","Steatomys pratensis",25.1788294548444,0.153120302986571,0.832959669469195,0.192928135997777,0.794850156503358,0.00436177234512182
"24","Eulemur fulvus",6.4267061616739,0.24712046236807,0.691099422039912,0.0152523395893899,0.982668749022747,0.00730388467199421
"25","Aethopyga christinae",0.172867294767066,0.0927090283253656,0.898020068842098,0.732562187798177,0.226497894622238,0.0043991296663458
"26","Guira guira",22.8939326141523,0.066750136669627,0.92657484966341,0.571252998043142,0.409929054230407,0.109778110389546
"27","Tamiasciurus hudsonicus",26.1067032727431,0.0234714012826779,0.973920665241469,0.235851490083248,0.744635926965641,0.174982687160947
"28","Gallirallus australis",0.0540177190129775,0.0106692403740258,0.987196911551169,0.0347884450724834,0.963472132673892,0.00528105595822606
"29","Amadina fasciata",13.0894819908871,0.00716829136814397,0.989247562947784,0.0380945176058405,0.954207294414085,0.243853979632234
"30","Petauroides volans",23.0414706292763,0.175294313466825,0.819051031260052,0.723712372991573,0.261075842730626,0.227776983237056
